indicator,País__ESTANDAR,Años__ESTANDAR,value,unit,notes_ids,source_id
Deuda externa total,Bolivia (Estado Plurinacional de),2007,5403,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2008,5930,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2009,5801,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2010,5875,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2011,6298,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2012,6625,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2013,7756,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2014,8543,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2015,9445,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2016,10703,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2017,11702,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2018,12491,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2019,13478,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2020,13541,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,1990,433521,"Millones de dólares corrientes, fin de periodo",8412,698
Deuda externa total,América Latina y el Caribe,1991,448329,"Millones de dólares corrientes, fin de periodo",8412,698
Deuda externa total,América Latina y el Caribe,1992,465662,"Millones de dólares corrientes, fin de periodo",8412,698
Deuda externa total,América Latina y el Caribe,1993,529988,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,1994,569413,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,1995,627997,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,1996,649127,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,1997,682816,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,1998,765738,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,1999,791513,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,2000,766924,"Millones de dólares corrientes, fin de periodo",6361,698
Deuda externa total,América Latina y el Caribe,2001,773538,"Millones de dólares corrientes, fin de periodo",6361,698
Deuda externa total,América Latina y el Caribe,2002,758774,"Millones de dólares corrientes, fin de periodo",6361,698
Deuda externa total,América Latina y el Caribe,2003,789985,"Millones de dólares corrientes, fin de periodo",6361,698
Deuda externa total,América Latina y el Caribe,2004,780295,"Millones de dólares corrientes, fin de periodo",6361,698
Deuda externa total,América Latina y el Caribe,2005,702000,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,2006,746053,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,2007,844382,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,2008,902409,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,2009,1018780,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,América Latina y el Caribe,2010,1215899,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2011,1362378,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2012,1511963,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2013,1646041,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2014,1824586,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2015,1845939,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2016,1917252,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2017,2019587,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2018,2097495,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2019,2163869,"Millones de dólares corrientes, fin de periodo",4562,698
Deuda externa total,América Latina y el Caribe,2020,1998247,"Millones de dólares corrientes, fin de periodo",10660,698
Deuda externa total,Bolivia (Estado Plurinacional de),1990,3779,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1991,3628,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1992,3785,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1993,4003,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1994,4479,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1995,4791,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1996,4643,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1997,4532,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1998,4659,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),1999,6983,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2000,6740,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2001,6861,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2002,6970,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2003,7734,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2004,7562,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2005,7666,"Millones de dólares corrientes, fin de periodo",,698
Deuda externa total,Bolivia (Estado Plurinacional de),2006,6278,"Millones de dólares corrientes, fin de periodo",,698
